epoch,dice_coef,iou,loss,lr,precision_1,recall_1,val_dice_coef,val_iou,val_loss,val_precision_1,val_recall_1
0,0.7224590182304382,0.5659186244010925,0.27754107117652893,1e-04,0.9467061758041382,0.41812965273857117,0.6313117742538452,0.4631322920322418,0.36868828535079956,0.9744980335235596,0.27254435420036316
1,0.7332848310470581,0.5792845487594604,0.2667151391506195,1e-04,0.9513759016990662,0.41659781336784363,0.6434031128883362,0.4760483205318451,0.3565969467163086,0.9738434553146362,0.2759243845939636
2,0.7417033910751343,0.5898329615592957,0.2582966089248657,1e-04,0.9535149335861206,0.41552504897117615,0.6796041131019592,0.5158067345619202,0.3203960657119751,0.9601104855537415,0.3218511641025543
3,0.7510074377059937,0.6016725897789001,0.24899257719516754,1e-04,0.9569525122642517,0.41517090797424316,0.6834193468093872,0.5204169750213623,0.3165806233882904,0.9613323211669922,0.3177378177642822
4,0.758858859539032,0.6118122339248657,0.24114114046096802,1e-04,0.9599164724349976,0.41454601287841797,0.7010369896888733,0.5405575037002563,0.29896292090415955,0.9458574056625366,0.35399290919303894
5,0.7630565762519836,0.6172479391098022,0.23694345355033875,1e-04,0.9599630236625671,0.41456595063209534,0.7011221647262573,0.5409871339797974,0.2988777756690979,0.9559109807014465,0.33195948600769043
6,0.7689119577407837,0.6249604821205139,0.23108825087547302,1e-04,0.9624606966972351,0.4135786294937134,0.7057466506958008,0.5464466214179993,0.29425323009490967,0.9489484429359436,0.3434329628944397
7,0.7767705917358398,0.635404646396637,0.22322939336299896,1e-04,0.9658638834953308,0.4135688841342926,0.7096664309501648,0.5511237382888794,0.29033362865448,0.9446110129356384,0.35316717624664307
8,0.7846006155014038,0.6459094285964966,0.21539939939975739,1e-04,0.9694358110427856,0.41330668330192566,0.7103874087333679,0.5520259737968445,0.28961244225502014,0.9493216276168823,0.3423018455505371
9,0.7877007722854614,0.6501144766807556,0.21229912340641022,1e-04,0.9701365828514099,0.41247469186782837,0.7108247876167297,0.5525087118148804,0.28917524218559265,0.9438773393630981,0.34759360551834106
10,0.7871571779251099,0.6493555307388306,0.21284286677837372,1e-04,0.9681411385536194,0.4120568335056305,0.716281533241272,0.558954119682312,0.28371840715408325,0.937932550907135,0.35760194063186646
11,0.7914822101593018,0.6552831530570984,0.20851776003837585,1e-04,0.9697335362434387,0.41223496198654175,0.711024284362793,0.5526605844497681,0.28897571563720703,0.9381004571914673,0.35050883889198303
12,0.7989280819892883,0.6655440926551819,0.2010718435049057,1e-04,0.973213791847229,0.41265439987182617,0.718824028968811,0.5621370673179626,0.28117603063583374,0.9422775506973267,0.3582371473312378
13,0.8045015335083008,0.6733014583587646,0.1954984962940216,1e-04,0.9761926531791687,0.41179388761520386,0.7224528789520264,0.566679060459137,0.27754703164100647,0.9460281729698181,0.3545175790786743
14,0.8073412179946899,0.6772351861000061,0.19265881180763245,1e-04,0.9768474102020264,0.4119996428489685,0.7198317050933838,0.5635372400283813,0.2801685631275177,0.9444995522499084,0.35144394636154175
15,0.8089971542358398,0.679618775844574,0.19100292026996613,1e-04,0.9768095016479492,0.41198840737342834,0.703269898891449,0.5440642237663269,0.2967299818992615,0.9591974020004272,0.3127651810646057
16,0.808576762676239,0.6790064573287964,0.19142331182956696,1e-04,0.9759722948074341,0.4116291105747223,0.7120872735977173,0.5545816421508789,0.28791287541389465,0.9619994759559631,0.3117409944534302
17,0.8135992288589478,0.6861356496810913,0.1864006370306015,1e-04,0.9783795475959778,0.41203081607818604,0.7176101207733154,0.560823380947113,0.28238993883132935,0.9521597027778625,0.3318856954574585
18,0.8185626864433289,0.6931695342063904,0.18143711984157562,1e-04,0.9805905818939209,0.41149741411209106,0.7206420302391052,0.564627468585968,0.2793579697608948,0.9497831463813782,0.33724862337112427
19,0.8196731805801392,0.6947669386863708,0.180326908826828,1e-04,0.9806894063949585,0.4116864502429962,0.7252504229545593,0.5703200101852417,0.27474939823150635,0.9502115845680237,0.33661574125289917
20,0.820078432559967,0.695398211479187,0.1799214631319046,1e-04,0.9802186489105225,0.4119711220264435,0.7112089395523071,0.553516149520874,0.28879106044769287,0.9552556872367859,0.3165333569049835
21,0.8229799270629883,0.6995185613632202,0.17702016234397888,1e-04,0.9815349578857422,0.41197437047958374,0.7182332277297974,0.5615440011024475,0.2817668318748474,0.9410781860351562,0.3452928960323334
22,0.8266352415084839,0.7048219442367554,0.17336489260196686,1e-04,0.9830697178840637,0.4115563929080963,0.720026969909668,0.5640879273414612,0.2799729108810425,0.9507365226745605,0.3346361517906189
23,0.8309968113899231,0.7112149000167847,0.1690031886100769,1e-04,0.9847472310066223,0.41196757555007935,0.7183123826980591,0.5620548129081726,0.2816876471042633,0.9508814215660095,0.3286704123020172
24,0.8336774110794067,0.7151056528091431,0.16632254421710968,1e-04,0.9857990145683289,0.4116491973400116,0.7188721895217896,0.5625155568122864,0.2811276614665985,0.9478893280029297,0.3333936631679535
25,0.8336998820304871,0.715110182762146,0.16630011796951294,1e-04,0.9854493737220764,0.41216519474983215,0.7284016013145447,0.5741023421287537,0.2715984284877777,0.9476213455200195,0.3424789011478424
26,0.8347378373146057,0.7166771292686462,0.1652621179819107,1e-04,0.9856091737747192,0.4124460220336914,0.7149302959442139,0.5578393340110779,0.28506964445114136,0.956309974193573,0.3176235556602478
27,0.8361701369285583,0.7187891602516174,0.16383004188537598,1e-04,0.9861873984336853,0.41232097148895264,0.7154998779296875,0.5587908625602722,0.28450024127960205,0.9595837593078613,0.3125090003013611
28,0.8358423709869385,0.7183223962783813,0.1641577184200287,1e-04,0.9857897758483887,0.41187888383865356,0.717033326625824,0.5605124235153198,0.2829667627811432,0.9541466236114502,0.3221670985221863
29,0.8348902463912964,0.7169069647789001,0.16510970890522003,1e-04,0.9847652316093445,0.41245192289352417,0.7157584428787231,0.5589807629585266,0.2842414975166321,0.9545449018478394,0.3228748142719269
30,0.8365145325660706,0.719294011592865,0.16348548233509064,1e-04,0.9855785369873047,0.41212305426597595,0.7260444760322571,0.5712648034095764,0.27395540475845337,0.948957085609436,0.3353830575942993
31,0.8393375277519226,0.7234793305397034,0.1606622338294983,1e-04,0.9866287708282471,0.4127937853336334,0.718930184841156,0.5628589391708374,0.28106972575187683,0.956938624382019,0.3164384663105011
32,0.8419800400733948,0.7273936867713928,0.15801991522312164,1e-04,0.987667977809906,0.4127153158187866,0.7217891812324524,0.5663382411003113,0.2782108187675476,0.9546518921852112,0.3230087459087372
33,0.8441613912582397,0.7306509017944336,0.1558384895324707,1e-04,0.9888188242912292,0.41196417808532715,0.7145875692367554,0.557681679725647,0.2854124903678894,0.9579447507858276,0.3121211528778076
34,0.846268892288208,0.73380047082901,0.15373115241527557,1e-04,0.9892460107803345,0.41291987895965576,0.7069969177246094,0.548872172832489,0.2930029034614563,0.9654945731163025,0.29694661498069763
35,0.8474027514457703,0.7355130910873413,0.15259723365306854,1e-04,0.989477813243866,0.4133845567703247,0.7162492275238037,0.5599349141120911,0.2837506830692291,0.9647126793861389,0.30470532178878784
36,0.8519865870475769,0.742442786693573,0.1480133980512619,1e-05,0.9913528561592102,0.4132707417011261,0.7386945486068726,0.5870755910873413,0.26130542159080505,0.9573054909706116,0.3375156819820404
37,0.8568727970123291,0.749872088432312,0.14312703907489777,1e-05,0.993529200553894,0.4131399393081665,0.737290620803833,0.5853760242462158,0.2627093195915222,0.9586471319198608,0.3341885805130005
38,0.8593382239341736,0.7536473870277405,0.14066165685653687,1e-05,0.9945017695426941,0.41304534673690796,0.7365350127220154,0.5844510793685913,0.26346516609191895,0.9591518044471741,0.3326526880264282
39,0.861029863357544,0.7562474608421326,0.13897015154361725,1e-05,0.9951043128967285,0.412997305393219,0.7361250519752502,0.5839466452598572,0.26387497782707214,0.9592835903167725,0.3320610225200653
